"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"衛部藥製字第061466號","双優惠脈錠5/40毫克","OlsaaCa Tablets 5/40 mg","圓形","","黃","","無","8.1","131",,"https://mcp.fda.gov.tw/insert/shapeImg/a1ba2b4c-6143-4d1b-a834-28a3c440afa3?c=o"
"衛部藥製字第061474號","""霖揚""戰顛注射劑100毫克/毫升","Valprocure Injection 100mg/ml ""GBC""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/fdc129b6-9f5f-4f9f-af35-b1ac229faf88?c=o"
"衛部藥製字第061475號","必目寧複方眼藥水","Cobrimonin Ophthalmic Solution","液劑(包含糖漿用粉劑)","","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/49f2f934-c5c6-4dcf-bec3-17f711afc257?c=o"
"衛部藥製字第061476號","降醣佳錠100毫克","Acarose Tablets 100mg","圓形","","白","","直線","9.0","SCP","9 1","https://mcp.fda.gov.tw/insert/shapeImg/d9ae5bbe-9e8a-4e77-b8d9-33413c02ddfb?c=o"
"衛部藥製字第061478號","樂舒靜錠2毫克","Leshujing Tablets 2mg","圓形","","白","","無","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/13e1d3b2-a5f1-473d-aaa4-602e22f2caa9?c=o"
"衛部藥製字第061480號","賦熹乾粉靜脈注射劑1公克","Forexef Powder for I.V. Injection 1g ""TBC""","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/75f8a4c3-4fd9-4058-923f-40585e52bece?c=o"
"衛部藥製字第061481號","流感苾靈膠囊75毫克","Oselta-Ful Capsules 75mg","膠囊","","黃;;;灰","","無","17.6","CCP B99",,"https://mcp.fda.gov.tw/insert/shapeImg/a83c44ae-5846-4770-bed4-fdbc9c85dbf3?c=o"
"衛部藥製字第061483號","樂舒靜錠1毫克","Leshujing Tablets 1mg","圓形","","粉","","無","5",,,"https://mcp.fda.gov.tw/insert/shapeImg/263a79a3-2087-483a-ae52-fe2897b2949f?c=o"
"衛部藥製字第061484號","吉賜護食道口服懸浮液","Ceisgel Oral Suspension","液劑(包含糖漿用粉劑)","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/7b20d000-880e-4f67-87fd-1b222a3e0f8e?c=o"
"衛部藥製字第061486號","依馥寧膜衣錠1毫克","Evadiol F.C. Tablet 1mg","圓形","","黃","","無","6","PL","T74","https://mcp.fda.gov.tw/insert/shapeImg/b9e78904-3fee-48f3-ad3a-2d6e876e7b50?c=o"
"衛部藥製字第061487號","""正和""猛町膜衣錠30毫克","Viotine F.C. Tablets 30mg ""C.H.""","圓形","","白","","直線","6",,,"https://mcp.fda.gov.tw/insert/shapeImg/d5d41264-8b3d-46cb-bfe5-2d9ba2dba3c8?c=o"
"衛部藥製字第061488號","""優生""艾克痛膜衣錠60毫克","Alcox F.C. Tablets 60mg ""Yu Sheng""","其他","","白;;;白","","無","7","60","YS","https://mcp.fda.gov.tw/insert/shapeImg/5c0d31c7-1c21-42ef-9df5-a45efe102deb?c=o"
"衛部藥製字第061491號","歐舒脈膜衣錠5/40毫克","Oxapress F.C. Tablets 5/40mg","圓形","","黃","","無","7","SYN 067",,"https://mcp.fda.gov.tw/insert/shapeImg/e3760983-9ac4-4ff9-a277-2867e485844f?c=o"
"衛部藥製字第061492號","""衛達""伏風寧膜衣錠80毫克","Feburin F.C. Tablets 80mg ""Weidar""","橢圓形","","黃","","直線",,"WD",,"https://mcp.fda.gov.tw/insert/shapeImg/6b6e826d-3229-489e-9a08-c00f5ca7b7dd?c=o"
"衛部藥製字第061493號","樂舒靜錠0.5毫克","Leshujing Tablets 0.5 mg","圓形","","黃","","無","5",,,"https://mcp.fda.gov.tw/insert/shapeImg/3902ed99-3864-4771-8fce-7089114dc9ae?c=o"
"衛部藥製字第061494號","普加巴寧膜衣錠75毫克","Rexabalin Film-Coated Tablets 75mg","橢圓形","","白","","直線","15","B 0 1",,"https://mcp.fda.gov.tw/insert/shapeImg/5d5534d7-4293-4b65-bbd4-d20622846490?c=o"
"衛部藥製字第061500號","阿巴蘭膜衣錠","Abalam Film-coated tablets","橢圓形","","橘","","無","20","Bora","L A","https://mcp.fda.gov.tw/insert/shapeImg/19f32852-f37d-4f65-aad1-4b74100094c9?c=o"
"衛部藥製字第061502號","安鐵瑩膜衣錠360毫克","Anfero Film-Coated Tablets 360 mg","橢圓形","","藍","","無",,"AX246","360","https://mcp.fda.gov.tw/insert/shapeImg/5363a1b9-264e-4890-bec9-e91ee16a2db8?c=o"
"衛部藥製字第061505號","“元宙”布洛芬錠","Irofen Tablets 800 mg","橢圓形","","白","","直線","19","UM",,"https://mcp.fda.gov.tw/insert/shapeImg/48883e84-8229-4af6-a76a-bdd15dff55fe?c=o"
"衛部藥製字第061506號","克痢黴素凍晶注射劑","Colimycin Lyo Injection",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/897e2556-1591-4c5d-b32b-29037db66c9b?c=o"
"衛部藥製字第061513號","吉賜治胃逆膜衣錠20毫克","Ceisdine F.C. Tablets 20 mg","圓形","","白","","無","8","NK","WZN20","https://mcp.fda.gov.tw/insert/shapeImg/85aaf7c2-7411-4c73-92b1-c9ab8c79237a?c=o"
"衛部藥製字第061514號","倍抗敏錠20毫克","Bistin Tablets 20 mg","橢圓形","","白","","直線","10","S","2 0","https://mcp.fda.gov.tw/insert/shapeImg/cb85eb1c-b60e-4569-b05d-b44d23b13bc6?c=o"
"衛部藥製字第061517號","水潤澤眼藥水","Moisture Eye Drops","液劑(包含糖漿用粉劑)","","粉","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/cb95073a-3a8b-4a5b-ac77-9cab0e3ca1f0?c=o"
"衛部藥製字第061560號","宜祛痘膠囊20毫克","Isotretor Capsules 20 mg","膠囊","","橘;;;橘","","無","15","IS 20",,"https://mcp.fda.gov.tw/insert/shapeImg/a0aa4433-c983-4333-a871-1dedb541c7b7?c=o"
"衛部藥製字第061518號","寶博靜脈輸液400 (10毫克/毫升)","Ciprofloxacinum 400 (10 mg/mL)",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/4d58005f-a419-4705-974c-5c136afdbfe9?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/b01b6fdf-e58c-41f1-9bb7-0e1b2df85583?c=o"
"衛部藥製字第061519號","倍絡宜洗髮精 500 μg/g","Belolin Shampoo 500 μg/g","液劑(包含糖漿用粉劑)","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/b502f86a-d5e2-4ecd-93fa-e18a51b3874e?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/e58665d4-965d-46ca-913d-28ff0407f940?c=o"
"衛部藥製字第061522號","豪思得持續性藥效錠6毫克","Donvex CORS Tablets 6 mg","圓形","","橘","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/19f28603-d1a8-4150-9fdf-640163553ad0?c=o"
"衛部藥製字第061523號","豪思得持續性藥效錠3毫克","Donvex CORS Tablets 3 mg","圓形","","白","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/78cc0b4c-970e-42ee-8227-b330eb485eb5?c=o"
"衛部藥製字第061524號","豪思得持續性藥效錠9毫克","Donvex CORS Tablets 9 mg","圓形","","粉","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/71d55165-6455-405a-96d6-52cd9e5e9451?c=o"
"衛部藥製字第061526號","""盛雲""佑眠錠2毫克","Eunox Tablets 2 mg ""Macro""","圓形","","白","","直線","7","MAC",,"https://mcp.fda.gov.tw/insert/shapeImg/5a3c35d8-fc97-4800-b4af-af06719c2cb3?c=o"
"衛部藥製字第061527號","好胃佳寧腸溶膜衣錠20毫克","Raberiet E.C. Tablets 20 mg","圓形","","黃","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/1dff1898-ee37-42ce-b1b2-66e00e67e3c4?c=o"
"衛部藥製字第061528號","""侑安""肝素鈉注射液5000國際單位/毫升","""IUAN"" Heparin Sodium Injection EP 5000 IU/mL","液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑)","","透明;;;透明","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/31be7379-c77a-4336-94c2-2c49b2b04bae?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/5a98cfa3-6ffb-429b-924f-e5ed7669598f?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/69def8a4-06ae-47ce-91f1-728526851327?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/da05a8c6-238e-40dd-9634-d714ce50c072?c=o"
"衛部藥製字第061532號","術適得凍晶注射劑40毫克","Dycox 40mg Lyophilized Injection",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/fcab3de1-fe1a-4078-80a1-2865a57448d6?c=o"
"衛部藥製字第061533號","""南光""樂得膜衣錠100毫克","Lote F.C. Tablets 100mg ""N.K.""","橢圓形","","黃","","直線","16","NK 619",,"https://mcp.fda.gov.tw/insert/shapeImg/ccd975d1-e02d-47ea-85f4-03ef0ba1d66c?c=o"
"衛部藥製字第061537號","""杏輝""阿托明眼藥水0.01%","Atropine Eye Drops 0.01% ""Sinphar""","液劑(包含糖漿用粉劑)","","透明;;;透明","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/0bd3a142-db2e-48bd-a677-8465e714a4e0?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/56390965-5e3a-4c46-9c5c-053b39d2935e?c=o"
"衛部藥製字第061540號","“管制藥品廠”吩坦尼穿皮貼片劑75微公克/小時","Fentany Transdermal Patch 75 µg/hr ""PPCD""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/b5096771-f062-43fa-a723-0deda758f209?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/c8968558-1bb9-4627-9b5c-58b395d378a9?c=o"
"衛部藥製字第061541號","痰多多顆粒600毫克","Tandodo 600mg granules for oral solution","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/ecf4eea5-d4a8-4a18-b61f-e01cf6d24152?c=o"
"衛部藥製字第061546號","安達痛 注射劑40毫克","Pacxib Powder for Solution for Injection 40 mg","其他","","白;;;白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/c7b8f2d3-da2d-41ba-a115-4135416ece26?c=o"
"衛部藥製字第061548號","日夜痰顆粒600毫克","Sunmuk granules 600 mg","顆粒劑、粉劑或散劑","","白","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/1b283ce1-eca3-4d43-a54a-1cd3d0747df0?c=o"
"衛部藥製字第061549號","犀利士膜衣錠5毫克","Cialis Film-Coated Tablets 5mg","水滴形","","黃","","無","10","C5","C","https://mcp.fda.gov.tw/insert/shapeImg/13ea11d1-23ce-4bbe-a376-9955aba78d07?c=o"
"衛部藥製字第061550號","犀利士膜衣錠20毫克","Cialis Film-Coated Tablets 20mg","水滴形","","黃","","無","13","C20","C","https://mcp.fda.gov.tw/insert/shapeImg/8b540bdb-043f-4daa-b2e1-c13bfa405f65?c=o"
"衛部藥製字第061554號","吉賜治胃逆日一膜衣錠40毫克","Ceisdine Daily F.C. Tablets 40mg","圓形","","粉","","無","10","NK","F M D40","https://mcp.fda.gov.tw/insert/shapeImg/9f79df3f-4347-4152-bcd1-7677cce529f3?c=o"
"衛部藥製字第061556號","""邦躍""痰剋顆粒600毫克","Taneasy 600mg granules for oral solution","顆粒劑、粉劑或散劑","","白","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/363b63e7-406d-4615-9149-6fe558b4df9a?c=o"
"衛部藥製字第061562號","舒力威膜衣錠20毫克","Standwell film-coated tablets 20 mg","四邊形","","黃","","十字","14",,,"https://mcp.fda.gov.tw/insert/shapeImg/9e18a110-bd08-448e-9f64-86d3cb84760d?c=o"
"衛部藥製字第061563號","胃潰安錠","Kowecan Tablets 200mg","圓形","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/9df97716-f605-4e46-a317-55d76b513db6?c=o"
"衛部藥製字第061566號","""華興""心律好錠10毫克","Sinlihaul Tablets 10 mg ""H.S.""","圓形","","粉","","直線","0.7","HS","D1","https://mcp.fda.gov.tw/insert/shapeImg/b3a88fe5-836a-4c6c-a38d-8c5a083ccfe7?c=o"
"衛部藥製字第061569號","碧露眼藥水","Marineeye-A Eye Lotion",,"",";;;","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/9673dc8f-bac0-4952-86e1-4a1c0b556060?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/d10ba504-9c89-4b83-a845-ef6c46782c16?c=o"
"衛部藥製字第061570號","睛明露眼藥水","Neo-Chmi Eye lotion",,"",";;;","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/78a0259e-a017-45e0-b76a-0934966bb729?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/88d36ffa-d6c4-484f-93ed-c4e1ef0ec389?c=o"
"衛部藥製字第061573號","友利暖膜衣錠50毫克","Eulidan F.C. Tablets 50 mg","圓形","","綠","","無","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/587a6835-4326-4dd0-8c6c-de038aa24661?c=o"
"衛部藥製字第061574號","立舒冒感冒錠","Risumo Cold & Flu Tablet","四邊形","","白","","無","16",,,"https://mcp.fda.gov.tw/insert/shapeImg/2a0510bc-2fff-4fac-bab8-09a745ee1e4d?c=o"
"衛部藥製字第061579號","""濟生""血液透析濃縮液 A-168D1K","Hemodialysis concentrate A168D1K ""CHI SHENG""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/1502e0a6-9ee2-44cf-a791-ab8c65675616?c=o"
"衛部藥製字第061581號","淨得寧皰疹乳膏","Gendelin Cream",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/31fcc945-d81e-4856-9296-438db5ff36ec?c=o"
"衛部藥製字第061582號","""羅得國際""治疱疹乳膏50毫克/公克(艾賽可威)","Gepaujan Cream 50mg/gm ""Root NT""(Acyclovir)",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/15856eac-0ba8-44c7-ac52-20f7b7a0bea3?c=o"
"衛部藥製字第061587號","""永吉""益壯膠囊","E-SEN CAPSULES ""YUNG CHI""","膠囊","","紅;;;紅","","無","20",,,"https://mcp.fda.gov.tw/insert/shapeImg/e28c26a9-f898-4c4d-b79c-b61f6037acb1?c=o"
"衛部藥製字第061588號","吉賜治胃逆膜衣錠10毫克","Ceisdine F.C. Tablets 10mg","圓形","","橘","","無",,"C",,"https://mcp.fda.gov.tw/insert/shapeImg/00c3b951-5cff-42da-96d8-9780e7e61664?c=o"
"衛部藥製字第061589號","“安星”安斐因輸注溶液及口服液","Astarfeine 20 mg/mL solution for infusion and oral solution ""Astar""","液劑(包含糖漿用粉劑)","","透明","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/a774e73d-8fe4-4f47-9892-bdfb7970fab2?c=o"
"衛部藥製字第061590號","""應元""葉酸錠1毫克","Folic acid tablets 1mg ""Y.Y.""","圓形","","黃;;;黃","","無","6.5","YP","746","https://mcp.fda.gov.tw/insert/shapeImg/e7bdbcd9-ecc9-4fa0-9581-f60198ebce23?c=o"
"衛部藥製字第061591號","双優惠脈錠5/20毫克","OlsaaCa Tablets 5/20 mg","圓形","","白","","無","6","251",,"https://mcp.fda.gov.tw/insert/shapeImg/aa63c424-7d55-4ffb-94bf-f122c701a5a7?c=o"
"衛部藥製字第061592號","""國嘉""易暢淨口服溶液用清腸粉劑","EZ KLEAN for oral solution ""KOJAR""","顆粒劑、粉劑或散劑","","粉","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/fc0d6f68-8085-4bd9-8cd0-5bfff1158c12?c=o"
"衛部藥製字第061795號","必脂坦膜衣錠2毫克","Pistatin F.C. Tablets 2mg","圓形","","橘","","直線","7","SY 091",,"https://mcp.fda.gov.tw/insert/shapeImg/834217e1-c96c-4414-a484-cad3d5bf98a9?c=o"
"衛部藥製字第061796號","好孕到8%陰道凝膠","Sopregnant 8% Vaginal Gel","其他","","白","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/34f61671-1160-45a9-a936-6367253c16ec?c=o"
"衛部藥製字第061799號","益釋寧長效錠36毫克","Comide Extended Release Tablets 36mg","其他","","白","","無","12",,,"https://mcp.fda.gov.tw/insert/shapeImg/a24fdf62-4087-43ff-a05d-65bfe3c689cd?c=o"
"衛部藥製字第061804號","立舒冒加強感冒錠","Risumo Cold & Flu Extra Tablet","四邊形","","黃","","無","16",,,"https://mcp.fda.gov.tw/insert/shapeImg/8e296b12-07d9-4875-82ac-974de2ef6b21?c=o"
"衛部藥製字第061805號","見眠錠0.25毫克","Genrem Tablets 0.25mg","圓形","","白","","直線","8","GL 55",,"https://mcp.fda.gov.tw/insert/shapeImg/c20dc14f-c8c9-4607-82d2-d276552373be?c=o"
"衛部藥製字第061807號","""濟生""血液透析濃縮液 A-168D1","Hemodialysis concentrate A-168D1 ""CHI SHENG""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/6e609b51-841d-4c56-afd9-7aeea9e39335?c=o"
"衛部藥製字第061808號","悠護迅膜衣錠8毫克","Ulodoxin F.C. Tablets 8 mg","圓形","","白","","直線","8.7","CCP 351",,"https://mcp.fda.gov.tw/insert/shapeImg/22721d6d-323c-47f1-9d33-6aaf667c7718?c=o"
"衛部藥製字第061809號","悠護迅膜衣錠4毫克","Ulodoxin F.C. Tablets 4 mg","橢圓形","","白","","直線","11.3","352",,"https://mcp.fda.gov.tw/insert/shapeImg/5a75e92f-5ae3-4958-886f-e74a76973b82?c=o"
"衛部藥製字第061811號","諾比寧菲注射劑","Norepinephrine Injection “TBC”","其他","","透明","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/9183b7ad-f501-4e54-a8a5-86aac3666384?c=o"
"衛部藥製字第061812號","""濟生""血液透析濃縮液A-188D1","Hemodialysis concentrate A-188D1""CHI SHENG""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/5dd5757f-07de-4207-a324-ad2808d6d457?c=o"
"衛部藥製字第061813號","索立頻持續釋放口溶錠0.4毫克","Sorifan D Tablets 0.4mg","圓形","","白","","無","11","AX 247",,"https://mcp.fda.gov.tw/insert/shapeImg/dd522834-b498-48cb-b71b-96149e08043e?c=o"
"衛部藥製字第061814號","索立頻持續釋放口溶錠0.2毫克","Sorifan D Tablets 0.2mg","圓形","","白","","無","8","AX 207",,"https://mcp.fda.gov.tw/insert/shapeImg/a83065f8-ab62-4efc-aeb2-1269926d901b?c=o"
"衛部藥製字第061816號","永骨信注射液5毫克/100毫升","YungClasta 5mg/100mL Solution for Infusion","其他","","透明;;;透明","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/bbed7099-f2b2-499e-abf5-9b34325d35c1?c=o"
"衛部藥製字第061817號","*","FFA Capsules 200mg (Flufenamic acid 200mg)
","膠囊","","藍;;;綠","","無","20",,,"https://mcp.fda.gov.tw/insert/shapeImg/f20b3b42-8979-4da1-9d88-5cc91edf2c2d?c=o"
"衛部藥製字第061819號","帕平癲 10毫克/毫升注射劑","Opasamide 10mg/ml for Injection","其他","","透明","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/26dcedb8-c353-42a4-8bc1-493627f5abfe?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/4b064a9a-8df7-418c-b481-4f500c44a1d3?c=o"
"衛部藥製字第061822號","壓控樂膜衣錠1.25毫克","Betacor Film-Coated Tablets 1.25mg","圓形","","白;;;白","","無",,"scp","675","https://mcp.fda.gov.tw/insert/shapeImg/048cc24c-1411-49de-8966-f5bc5bc128ac?c=o"
"衛部藥製字第061823號","納得復口溶錠5毫克","Nodoff Orally Disintegrating Tablets 5 mg","圓形","","黃","","無","6.5","S","5","https://mcp.fda.gov.tw/insert/shapeImg/68070c0c-51c7-48ff-a0bd-c184b35a1229?c=o"
"衛部藥製字第061825號","伏斯壯注射液50毫克/毫升","Fustron solution for injection 50 mg/mL",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/269310b8-87b6-4eec-b560-09322aedf49c?c=o"
"衛部藥製字第061829號","肺活膜衣錠20毫克","Levon 20mg Film-Coated Tablets","圓形","","黃","","無","6.4","YSP","326","https://mcp.fda.gov.tw/insert/shapeImg/0f808459-f964-4c90-9b2e-3f709ece9f7f?c=o"
"衛部藥製字第061830號","福消疼注射劑40毫克","Tunbye 40mg powder for solution for injection","其他","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/e7f5ff7d-f100-45a6-94d2-8073e0db0590?c=o"
"衛部藥製字第061831號","優特鎂錠","Ulmago Tablets","圓形","","白","","直線","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/0b501e45-db15-49df-8ccb-d7e61543d76c?c=o"
"衛部藥製字第061834號","腹釋寧便通錠","“UHC” MgO Tablets","圓形","","白","","直線","9","UL 157",,"https://mcp.fda.gov.tw/insert/shapeImg/408a270c-74b2-4193-8955-0468cc361b75?c=o"
"衛部藥製字第061836號","愛伏炎膜衣錠400毫克","Ifyan F.C. Tablets 400 mg","膠囊","","橘","","直線","17.4",,,"https://mcp.fda.gov.tw/insert/shapeImg/6c146429-3f2e-4031-bcfc-593afce40972?c=o"
"衛部藥製字第061839號","""元宙""複乙康膠囊","B1612 Capsules ""Y.C.""","膠囊","","橘;;;粉","",,"14",,,"https://mcp.fda.gov.tw/insert/shapeImg/c4089695-c7ab-4850-9526-bb896e60a90c?c=o"
"衛部藥製字第061840號","麗容脂注射劑 10.56毫克/毫升","Ronlytic(Sodium deoxycholate) Injection 10.56 mg/mL",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/169de0bd-a1d3-451d-9314-7edfe8b2d6df?c=o"
"衛部藥製字第061841號","""威德""血循通膜衣錠","""Weider"" Gingo Film Coated Tablet","圓形","","黃","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/1421de96-d3da-4754-be10-8b33a68ed48d?c=o"
"衛部藥製字第061844號","比肺思達膜衣錠200毫克","Bifesda F.C. Tablets 200 mg","橢圓形","","黃","","無","12.2","375",,"https://mcp.fda.gov.tw/insert/shapeImg/4a9927d9-c36f-47d9-83c2-5c82985df9f2?c=o"
"衛部藥製字第061849號","抑菌佳殺菌清潔液2% (克羅希西定)","Safeplus Antiseptic Skin Cleanser 2% (Chlorhexidine)","液劑(包含糖漿用粉劑)","","透明","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/66b4435d-17c0-4b68-a9ba-d2522a6e2c31?c=o"
"衛署藥製字第024703號","""溫士頓""速必膠囊50毫克(斯而比來特)","SULPI CAPSULES 50MG (SULPIRIDE) ""WINSTON""","膠囊","","綠;;;白","","無","16","winston 30112",,"https://mcp.fda.gov.tw/insert/shapeImg/48e7bee6-bf8f-4e14-a64e-e72067d10428?c=o"
"衛署藥製字第024706號","""富邦""舒必安錠","SUPIAN TABLETS ""F.B""","圓形","","白","","直線","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/6a05c2ae-edf0-4d1a-9bf7-e2b77a601bca?c=o"
"衛署藥製字第024708號","“永信”舒力錠200毫克（氯若沙宗）","SORIN TABLETS 200MG (CHLORZOXAZONE) ""YUNG SHIN""","圓形","","白","","無","11.1","C",,"https://mcp.fda.gov.tw/insert/shapeImg/48215b37-0b0e-4112-b96b-145e43715145?c=o"
"衛署藥製字第024730號","""約克""婦可淨膣錠１００毫克","FUCODINE VAGINAL TABLETS 100MG ""Y.K.""","橢圓形","","白","","無","18",,,"https://mcp.fda.gov.tw/insert/shapeImg/1975c0e6-25f6-47a8-a049-46cd7a565278?c=o"
"衛署藥製字第024740號","消炎酵素錠１００公絲（來縮酵素）","LYSOZYME TABLETS 100MG ""M.T.""","圓形","","白","","直線","9.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/92c31a7e-af2a-40d7-8a51-49bfeb052b4a?c=o"
"衛署藥製字第024742號","""華興""邁立酵錠100毫克(來縮酵素)","MILISHER TABLETS 100MG ""H.S."" (LYSOZYME)","圓形","","白","","直線","9","100",,"https://mcp.fda.gov.tw/insert/shapeImg/4d028c6d-0bc7-4031-b7c1-f5270497c4e6_img_1?c=o"
